"firm_name","n_offres","avg_req_exp","top_skill_req","avg_wage","sector_main","addr_dept_main"
"1dsolutions",2,NA,"équipe",32900,NA,75
"1g link consulting",2,NA,"sql",48750,NA,75
"52 entertainment",7,3,"tableau",NA,NA,NA
"ab science",2,NA,"programming",NA,NA,75
"ab tasty",1,NA,"creativity",NA,"Secteur informatique, ESN",75
"abeille assurances",2,NA,"deep learning",NA,NA,92
"abil ressources",1,1,"deep learning",50000,"Services aux Entreprises, Secteur informatique, ESN",94
"aboro",1,NA,"autonome",NA,NA,NA
"abylsen",5,1,"deep learning",40000,"Secteur informatique, ESN",13
"accelite",1,NA,"spark",47500,NA,75
"accenture",60,1,"git",NA,"Secteur informatique, ESN",NA
"accorcorpo",1,NA,"communication",NA,NA,92
"acensi",2,7,"équipe",52500,"Services aux Entreprises",33
"aceo tech",1,NA,"gestion de projets",NA,NA,63
"acii by audensiel",2,1,"modélisation",37500,"Secteur informatique, ESN",44
"act on data",1,NA,"azure",NA,NA,92
"actinvision",2,NA,"programmation",43250,NA,67
"activus",8,7,"équipe",49899.988,"Secteur informatique, ESN",31
"adalid",44,NA,"statistique",NA,NA,59
"adapt rh",1,7,"proactive",75000,"Services aux Entreprises",75
"adeo",1,NA,"communication",NA,NA,59
"adequation",1,7,"optimisation",NA,"Services aux Entreprises, Immobilier",NA
"adherence consulting",2,7,"git",NA,"Secteur informatique, ESN",59
"adikteev",4,NA,"python",NA,NA,75
"adoc talent management",1,NA,"résolution de problèmes",NA,"Services aux Entreprises",75
"adod",1,7,"azure",NA,"Secteur informatique, ESN",69
"adone conseil",1,NA,"curiosité",70000,NA,75
"adsearch",15,1,"équipe",54666.6666666667,"Services aux Entreprises",44
"adway conseil",1,NA,"curiosité",NA,NA,92
"aerow",1,NA,"power bi",NA,NA,75
"afdtech",3,7,"python",47500,"Secteur informatique, ESN",59
"afterdata",1,NA,"créativité",16800,NA,75
"ag solution",1,NA,"excel",NA,NA,59
"ag2r la mondiale",3,1,"équipe",NA,NA,75
"agh consulting",4,7,"équipe",NA,"Industrie high-tech, Telecom",92
"agorastore",7,NA,"git",NA,NA,NA
"aia bordeaux",1,NA,"modélisation",NA,NA,33
"air france",1,NA,"modélisation",NA,NA,95
"airbus",8,NA,"python",NA,NA,13
"aircall",2,0,"sql",NA,"Secteur informatique, ESN",75
"ais",2,NA,"excel",NA,"Secteur informatique, ESN",44
"aixial",1,NA,"tableau",NA,NA,92
"aizen recruitment",1,NA,"bases de donnée",NA,NA,75
"akkion recruitment",1,NA,"statistique",NA,NA,60
"akkodis",2,1,"équipe",42500,"Secteur informatique, ESN",63
"algoscope",1,NA,"python",14400,NA,NA
"alma",1,NA,"english",NA,"Banque, Assurance, Finance",75
"alpee",3,1,"sql",51666.6666666667,"Secteur Energie, Environnement",74
"alstom",5,NA,"python",NA,NA,41
"alteca",7,0,"équipe",52500,"Secteur informatique, ESN",59
"alteia",1,NA,"deep learning",NA,NA,NA
"altelios",11,1,"équipe",47722.2222222222,"Secteur informatique, ESN",92
"alten",48,0,"reporting",NA,NA,92
"amazon",3,0,"aws",NA,"Média, Internet, Communication",33
"amiltone",2,7,"sql",39000,"Secteur informatique, ESN",59
"anderson rh",1,1,"english",NA,"Services aux Entreprises",NA
"andrice",1,7,"spark",NA,"Services aux Entreprises",69
"aneo",1,NA,"power bi",15600,NA,92
"aosis",1,NA,"nlp",50000,NA,92
"aphp",13,2,"intelligence artificielle",NA,NA,NA
"apple",1,NA,"deep learning",NA,NA,75
"april",2,NA,"modélisation",NA,"Banque, Assurance, Finance",69
"apside",12,5,"équipe",49000,"Secteur informatique, ESN",6
"aptargroup inc",1,NA,"python",NA,NA,27
"aquila data enabler",3,NA,"deep learning",NA,NA,92
"arcom",1,NA,"programmation",NA,NA,75
"argon & co",1,NA,"deep learning",19800,NA,92
"arkema",1,NA,"anglais",NA,NA,92
"arkeon energy",1,NA,"programmation",NA,NA,14
"armor meca developpement",1,NA,"tableau",35000,NA,22
"artefact",7,0.3,"git",NA,"Secteur informatique, ESN",75
"artelia",1,NA,"python",NA,NA,38
"artelys",7,3,"deep learning",NA,NA,NA
"artemys agil it (groupe artemys)",1,NA,"spark",32500,NA,79
